analysis_date,window,factor_order,factor_name,method,one_way_cost_bps,gross_q5_minus_q1,gross_q5_minus_q1_bps,q1_drift_turnover,q5_drift_turnover,long_short_half_l1_turnover_sum,roundtrip_traded_notional_ratio,transaction_cost_drag,transaction_cost_drag_bps,canonical_net_q5_minus_q1,canonical_net_q5_minus_q1_bps,factor_sign_flipped
2015-08-31,60,1,residual_degree_percentile,RAW_COMMON,5,-0.016076303033668103,-160.76303033668103,0.6088707657076754,0.27362095504256256,0.882491720750238,1.764983441500476,0.000882491720750238,8.82491720750238,-0.01695879475441834,-169.5879475441834,False
2015-08-31,60,1,residual_degree_percentile,RAW_COMMON,10,-0.016076303033668103,-160.76303033668103,0.6088707657076754,0.27362095504256256,0.882491720750238,1.764983441500476,0.001764983441500476,17.64983441500476,-0.01784128647516858,-178.4128647516858,False
2015-08-31,60,1,residual_degree_percentile,RAW_COMMON,20,-0.016076303033668103,-160.76303033668103,0.6088707657076754,0.27362095504256256,0.882491720750238,1.764983441500476,0.003529966883000952,35.29966883000952,-0.019606269916669056,-196.06269916669055,False
2015-08-31,60,1,residual_degree_percentile,RAW_COMMON,30,-0.016076303033668103,-160.76303033668103,0.6088707657076754,0.27362095504256256,0.882491720750238,1.764983441500476,0.005294950324501428,52.94950324501428,-0.021371253358169532,-213.7125335816953,False
2015-08-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,5,0.015184624374531705,151.84624374531705,0.590190502315027,0.38807858288048314,0.9782690851955101,1.9565381703910203,0.00097826908519551,9.7826908519551,0.014206355289336194,142.06355289336193,False
2015-08-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,10,0.015184624374531705,151.84624374531705,0.590190502315027,0.38807858288048314,0.9782690851955101,1.9565381703910203,0.00195653817039102,19.5653817039102,0.013228086204140685,132.28086204140686,False
2015-08-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,20,0.015184624374531705,151.84624374531705,0.590190502315027,0.38807858288048314,0.9782690851955101,1.9565381703910203,0.00391307634078204,39.1307634078204,0.011271548033749666,112.71548033749666,False
2015-08-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,30,0.015184624374531705,151.84624374531705,0.590190502315027,0.38807858288048314,0.9782690851955101,1.9565381703910203,0.005869614511173061,58.69614511173061,0.009315009863358644,93.15009863358644,False
2015-08-31,60,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,5,-0.00039985228101202183,-3.9985228101202184,0.5892814814342837,0.4233659337181054,1.0126474151523892,2.0252948303047784,0.0010126474151523892,10.126474151523892,-0.001412499696164411,-14.124996961644111,False
2015-08-31,60,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,10,-0.00039985228101202183,-3.9985228101202184,0.5892814814342837,0.4233659337181054,1.0126474151523892,2.0252948303047784,0.0020252948303047785,20.252948303047784,-0.0024251471113168003,-24.251471113168,False
