factor_order,factor_name,method,window,month_count,mean_gross_q5_minus_q1,mean_gross_q5_minus_q1_bps,mean_q1_drift_turnover,mean_q5_drift_turnover,mean_roundtrip_traded_notional_ratio,descriptive_break_even_one_way_cost_bps,break_even_is_ex_post_magnitude_diagnostic,factor_sign_flipped
1,residual_degree_percentile,RAW_COMMON,60,122,-0.001915549940705601,-19.15549940705601,0.4599148321524386,0.3729233525008236,1.6656763693065244,11.500132774910574,True,False
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,126,0.0021597448000046935,21.597448000046935,0.46439868663493156,0.42242176273947013,1.7736408987488033,12.17690007897463,True,False
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,126,0.001475257450511639,14.75257450511639,0.4816894902759842,0.43876116684988903,1.840901314251746,8.013778028678702,True,False
2,delta_degree_percentile,RAW_COMMON,60,132,-0.011717403976597674,-117.17403976597674,0.44544843650973204,0.4741212711037903,1.8391394152270448,63.711341726375544,True,False
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,60,131,-0.007501156391018482,-75.01156391018482,0.4820583810906259,0.5184149306926047,2.000946623566461,37.48803842477576,True,False
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,130,-0.002790273190172575,-27.90273190172575,0.5068519859798892,0.5282172306072394,2.070138433174257,13.478679229649854,True,False
3,cross_industry_degree_percentile,RAW_COMMON,60,122,-0.0008712423221374035,-8.712423221374035,0.49361012984662006,0.39800405882502976,1.7832283773432995,4.885758510838658,True,False
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,126,0.002014157406838073,20.14157406838073,0.5051828090622587,0.4426115386657575,1.8955886954560324,10.625498092841896,True,False
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,126,0.0013055474910230345,13.055474910230345,0.51835984985687,0.45805876275139357,1.952837225216527,6.685388183740085,True,False
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,60,129,-0.0005245538678912135,-5.245538678912135,0.4643277950705083,0.435255253584868,1.7991660973107528,2.915538863672865,True,False
