analysis_date,window,factor_order,factor_name,neutralization,target_name,spread_status,q1_return,q2_return,q3_return,q4_return,q5_return,q5_minus_q1,q5_minus_q1_bps,portfolio_spearman
2015-04-30,60,1,residual_degree_percentile,RAW,future_excess_return,PASS,0.0060114038155255145,-0.016185672772973846,-0.01229359929920007,-0.017407911779781383,-0.16764843007712005,-0.17365983389264555,-1736.5983389264557,-0.8999999999999998
2015-04-30,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,PASS,0.0008121968715441962,-0.010355887032038663,-0.050921224842483834,-0.05787820881722979,-0.08316522032375591,-0.08397741719530011,-839.7741719530011,-0.9999999999999999
2015-04-30,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,PASS,-0.00641481162062498,-0.02286433670372471,-0.06128796144298831,-0.05751532771515005,-0.053364980529043635,-0.04695016890841865,-469.5016890841865,-0.6
2015-04-30,60,2,delta_degree_percentile,RAW,future_excess_return,PASS,0.023207232851788807,-0.00674890665895886,-0.02477468027217094,-0.09250607762094808,-0.10277890034429019,-0.125986133196079,-1259.8613319607898,-0.9999999999999999
2015-04-30,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,PASS,0.018183854919861832,-0.03071738488409355,-0.06178588694089541,-0.060373871307540725,-0.0667809758935324,-0.08496483081339423,-849.6483081339424,-0.8999999999999998
2015-04-30,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,PASS,0.004856912307671776,-0.05523318699229852,-0.08003712247311245,-0.04369511147813966,-0.027385397180293314,-0.03224230948796509,-322.4230948796509,-0.09999999999999999
2015-04-30,60,3,cross_industry_degree_percentile,RAW,future_excess_return,PASS,-0.001896973139270399,-0.014517657928070483,-0.028963713586395514,-0.014545953721278381,-0.15052055557092128,-0.14862358243165089,-1486.2358243165088,-0.8999999999999998
2015-04-30,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,PASS,-0.006264128365059044,-0.015365304711097682,-0.04087712866842815,-0.05606397891042875,-0.08334300572579628,-0.07707887736073724,-770.7887736073724,-0.9999999999999999
2015-04-30,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,PASS,-0.01191642163340031,-0.02214247268119054,-0.04673845398687142,-0.0636845826820463,-0.05697913963690623,-0.04506271800350592,-450.6271800350592,-0.8999999999999998
2015-04-30,60,4,cross_industry_degree_ratio,RAW,future_excess_return,FEWER_THAN_5_PORTFOLIOS,,,,,,,,
2015-04-30,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,PASS,-0.06990140927635737,-0.07131535340286309,-0.038065387006721615,-0.00784196905393264,-0.014038353507918171,0.055863055768439196,558.630557684392,0.7999999999999999
2015-04-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,PASS,-0.05736844389951665,-0.058087223759564634,-0.029180193392213557,-0.02499400909575834,-0.03232190487348084,0.025046539026035805,250.46539026035805,0.6
2015-04-30,60,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,7,neighbor_jaccard_1m,RAW,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,8,neighbor_retention_1m,RAW,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-04-30,60,9,outside_community_degree_percentile,RAW,future_excess_return,PASS,0.021620646020657597,0.0035129723930643958,-0.029624581188647744,-0.0435667557095679,-0.16913735700702612,-0.19075800302768373,-1907.5800302768373,-0.9999999999999999
