window_id,window_start,network_date,edge_count,density,mean_abs_partial,median_abs_partial,total_abs_partial,same_edges,cross_edges,same_industry_ratio,cross_industry_ratio,mean_abs_partial_same,mean_abs_partial_cross,positive_edges,negative_edges,edge_count_change,common_edges,lost_edges,gained_edges,gross_edge_changes,jaccard,turnover,lost_same,gained_same,lost_cross,gained_cross,same_edge_changes,cross_edge_changes,cross_change_share,edge_count_z,density_z,mean_abs_partial_z,same_edges_z,cross_edges_z,same_industry_ratio_z,turnover_z,gross_edge_changes_z,high_turnover_z1,high_turnover_z1_5,high_gross_change_z1,abs_edge_count_change,rewiring_share,delta_same_edges,delta_cross_edges,delta_mean_abs_partial,delta_same_industry_ratio,abs_edge_count_change_z,cross_edge_changes_z,turnover_robust_z,gross_edge_changes_robust_z,core_change_score,max_core_z,high_change_moderate,high_change_strong,high_change_very_strong,high_change_joint,robust_high_turnover,robust_high_gross_change,change_type,change_source,change_rank
1,2023-01-04,2024-01-16,52,0.4952380952380952,0.1027844539562719,0.0550846451937975,5.344791605726144,18,34,0.3461538461538461,0.6538461538461539,0.1972374843126908,0.0527799084734619,52,0,,,,,,,,,,,,,,,0.2672183305168297,0.267218330516829,-1.547190878581156,-0.5089438709451506,0.3256495829358838,-0.4606204502741144,,,False,False,False,,0.0,,,,,,,,,,,False,False,False,False,False,False,Initial network,No change,
2,2023-02-08,2024-02-21,51,0.4857142857142857,0.1069508606304157,0.0724822811087731,5.454493892151201,18,33,0.3529411764705882,0.6470588235294118,0.1975377773139065,0.0575398151666934,51,0,-1.0,46.0,6.0,5.0,11.0,0.8070175438596491,0.1929824561403509,0.0,0.0,6.0,5.0,0.0,11.0,1.0,0.0909679423036015,0.0909679423036003,-1.0434822634532424,-0.5089438709451506,0.1545455647831315,-0.3265782351494972,1.6434365343403898,1.8197448612917202,True,True,True,1.0,0.9090909090909091,0.0,-1.0,0.004166406674143794,0.006787330316742113,-0.3767623099351929,1.9598864330502048,1.3843516900873565,1.6187999999999998,1.731590697816055,1.8197448612917202,True,True,False,True,False,True,Rewiring with contraction,Cross-industry dominated,1.0
3,2023-03-08,2024-03-20,52,0.4952380952380952,0.1054278414479803,0.0714800529631925,5.482247755294978,18,34,0.3461538461538461,0.6538461538461539,0.1963011041086561,0.0573184670982107,52,0,1.0,47.0,4.0,5.0,9.0,0.8392857142857143,0.1607142857142857,0.0,0.0,4.0,5.0,0.0,9.0,1.0,0.2672183305168297,0.267218330516829,-1.2276116447636818,-0.5089438709451506,0.3256495829358838,-0.4606204502741144,1.0765051468734426,1.184950142236469,True,False,True,1.0,0.8888888888888888,0.0,1.0,-0.0015230191824354006,-0.006787330316742113,-0.3767623099351929,1.3137700265501373,0.9094094189137889,1.0792,1.130727644554956,1.184950142236469,True,False,False,True,False,False,Rewiring with expansion,Cross-industry dominated,6.0
4,2023-04-06,2024-04-19,51,0.4857142857142857,0.1082707355550832,0.068697413732943,5.521807513309248,19,32,0.3725490196078431,0.6274509803921569,0.1830512289598289,0.0638698175960155,51,0,-1.0,49.0,3.0,2.0,5.0,0.9074074074074074,0.0925925925925925,0.0,1.0,3.0,1.0,1.0,4.0,0.8,0.0909679423036015,0.0909679423036003,-0.8839125376815752,0.8058277956631562,-0.0165584533696207,0.0606548307660616,-0.12035000444566844,-0.08463929587403347,False,False,False,1.0,0.8,1.0,-2.0,0.0028428941071028946,0.026395173453997,-0.3767623099351929,-0.3015209897000316,-0.09324648689707593,0.0,-0.10249465015985096,-0.08463929587403347,False,False,False,False,False,False,Rewiring with contraction,Cross-industry dominated,16.0
5,2023-05-09,2024-05-22,55,0.5238095238095238,0.1015789383751745,0.0692980741270313,5.5868416106346,18,37,0.3272727272727272,0.6727272727272727,0.1864952578140186,0.0602682964860071,55,0,4.0,49.0,2.0,6.0,8.0,0.8596491228070176,0.1403508771929824,1.0,0.0,1.0,6.0,1.0,7.0,0.875,0.7959694951565144,0.7959694951565138,-1.6929348328711,-0.5089438709451506,0.8389616373941405,-0.833501521438957,0.7187329120642035,0.8675527827088434,False,False,False,4.0,0.5,-1.0,5.0,-0.006691797179908698,-0.045276292335115875,1.164538048890596,0.6676536200500698,0.6096885681731877,0.8093999999999999,0.7931428473865234,0.8675527827088434,False,False,False,False,False,False,Expansion-dominant,Cross-industry dominated,8.0
6,2023-06-06,2024-06-20,51,0.4857142857142857,0.110436530317738,0.0802872862905601,5.632263046204639,18,33,0.3529411764705882,0.6470588235294118,0.1862950538662151,0.0690591538367504,51,0,-4.0,50.0,5.0,1.0,6.0,0.8928571428571429,0.1071428571428571,0.0,0.0,5.0,1.0,0.0,6.0,1.0,0.0909679423036015,0.0909679423036003,-0.6220731240404869,-0.5089438709451506,0.1545455647831315,-0.3265782351494972,0.13528895991375378,0.23275806365359214,False,False,False,4.0,0.3333333333333333,0.0,-4.0,0.008857591942563497,0.025668449197860987,1.164538048890596,0.34459541680003597,0.12091302696543926,0.2698,0.18402351178367296,0.23275806365359214,False,False,False,False,False,False,Contraction-dominant,Cross-industry dominated,12.0
7,2023-07-06,2024-07-18,51,0.4857142857142857,0.1098751939725524,0.0686494192322281,5.603634892600173,18,33,0.3529411764705882,0.6470588235294118,0.1835251567991937,0.0697024869762025,51,0,0.0,49.0,2.0,2.0,4.0,0.9245283018867924,0.0754716981132075,0.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0909679423036015,0.0909679423036003,-0.6899373473792995,-0.5089438709451506,0.1545455647831315,-0.3265782351494972,-0.42115331413788576,-0.40203665540165906,False,False,False,0.0,1.0,0.0,0.0,-0.0005613363451855979,0.0,-0.8905290962104558,-0.3015209897000316,-0.345242072676981,-0.2698,-0.4115949847697724,-0.40203665540165906,False,False,False,False,False,False,Pure rewiring,Cross-industry dominated,19.0
8,2023-08-03,2024-08-15,53,0.5047619047619047,0.1081684170960167,0.0676287902973079,5.732926106088888,17,36,0.320754716981132,0.6792452830188679,0.204026755818375,0.0629019793660142,51,2,2.0,48.0,3.0,5.0,8.0,0.8571428571428571,0.1428571428571429,1.0,0.0,2.0,5.0,1.0,7.0,0.875,0.4434687187300579,0.4434687187300566,-0.8962825949873743,-1.8237155375534573,0.6678576192413883,-0.9622249659920196,0.7627664178868809,0.8675527827088434,False,False,False,2.0,0.75,-1.0,3.0,-0.0017067768765356983,-0.0321864594894562,0.1370044763400701,0.6676536200500698,0.6465772882643401,0.8093999999999999,0.8151596002978622,0.8675527827088434,False,False,False,False,False,False,Rewiring with expansion,Cross-industry dominated,7.0
9,2023-08-31,2024-09-12,54,0.5142857142857142,0.1056123731982792,0.0725223626644848,5.703068152707082,17,37,0.3148148148148148,0.6851851851851852,0.2047466732493848,0.0600641812829064,51,3,1.0,48.0,5.0,6.0,11.0,0.8135593220338984,0.1864406779661016,0.0,0.0,5.0,6.0,0.0,11.0,1.0,0.6197191069432861,0.6197191069432842,-1.205302196920519,-1.8237155375534573,0.8389616373941405,-1.0795314188741958,1.5285016208371331,1.8197448612917202,True,True,True,1.0,0.9090909090909091,0.0,1.0,-0.0025560438977375033,-0.005939902166317179,-0.3767623099351929,1.9598864330502048,1.2880658783240118,1.6187999999999998,1.6741232410644267,1.8197448612917202,True,True,False,True,False,True,Rewiring with expansion,Cross-industry dominated,2.0
10,2023-09-28,2024-10-21,55,0.5238095238095238,0.1135590529306821,0.0673525531767186,6.24574791118752,17,38,0.3090909090909091,0.6909090909090909,0.2121913894452965,0.0694340602794073,53,2,1.0,49.0,5.0,6.0,11.0,0.8166666666666667,0.1833333333333333,0.0,0.0,5.0,6.0,0.0,11.0,1.0,0.7959694951565144,0.7959694951565138,-0.2445675985159185,-1.8237155375534573,1.0100656555468928,-1.1925721825606574,1.4739075369230883,1.8197448612917202,True,False,True,1.0,0.9090909090909091,0.0,1.0,0.0079466797324029,-0.005723905723905742,-0.3767623099351929,1.9598864330502048,1.242330117736425,1.6187999999999998,1.6468261991074042,1.8197448612917202,True,True,False,True,False,True,Rewiring with expansion,Cross-industry dominated,3.0
11,2023-11-03,2024-11-18,56,0.5333333333333333,0.1121972537283819,0.0687255538266721,6.283046208789386,17,39,0.3035714285714285,0.6964285714285714,0.207963582303521,0.0704529566571673,54,2,1.0,54.0,1.0,2.0,3.0,0.9473684210526316,0.0526315789473684,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.9722198833697424,0.9722198833697414,-0.4092058693140877,-1.8237155375534573,1.181169673699645,-1.3015757761154596,-0.8224397917294374,-0.7194340149292847,False,False,False,1.0,0.6666666666666666,0.0,1.0,-0.0013617992023002012,-0.005519480519480591,-0.3767623099351929,-0.6245791929500654,-0.6814166350170912,-0.5396,-0.770936903329361,-0.7194340149292847,False,False,False,False,False,False,Rewiring with expansion,Cross-industry dominated,22.0
12,2023-12-01,2024-12-16,54,0.5142857142857142,0.1168829649542864,0.0737780832396741,6.311680107531466,17,37,0.3148148148148148,0.6851851851851852,0.208956600846916,0.0745788619765917,53,1,-2.0,54.0,2.0,0.0,2.0,0.9642857142857144,0.0357142857142857,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.6197191069432861,0.6197191069432842,0.1572854257236827,-1.8237155375534573,0.8389616373941405,-1.0795314188741958,-1.1196659560324966,-1.0368313744569102,False,False,False,2.0,0.0,0.0,-2.0,0.0046857112259045125,0.011243386243386333,0.1370044763400701,-0.9476373962000992,-0.9304154956323593,-0.8093999999999999,-1.0782486652447034,-1.0368313744569102,False,False,False,False,False,False,Contraction-dominant,Cross-industry dominated,25.0
