column,required_for_day2
trade_date,True
security_id,True
source_security_id,False
identity_reconciled,False
stock_code,True
stock_name,True
exchange,True
is_open,True
is_suspended,True
close_price,False
adj_factor,False
adjusted_close,True
adj_factor_changed,False
chg_pct_raw,False
vendor_return_decimal,False
vendor_return_log,False
return_network,True
return_network_simple,False
return_last_trade_log,True
return_last_trade_simple,False
days_since_last_trade,False
is_consecutive_open_pair,False
is_reopen_day,False
return_validation_diff,False
volume,True
turnover_value,True
market_value,True
neg_market_value,True
turnover_rate,True
industry_id1,True
industry_id2,True
