日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,002415,31.15,30.84,31.49,30.56,300608,1035688643.7,2.98,-1.25,-0.39,0.33
2023-01-04,002415,30.71,30.47,31.02,29.9,345958,1168725298.39,3.63,-1.2,-0.37,0.38
2023-01-05,002415,30.47,30.9,31.21,30.4,376571,1289628576.47,2.66,1.41,0.43,0.41
2023-01-06,002415,30.9,30.3,30.9,30.22,271466,918474683.8,2.2,-1.94,-0.6,0.3
2023-01-09,002415,30.05,29.62,30.35,29.56,454191,1509679045.08,2.61,-2.24,-0.68,0.49
2023-01-10,002415,29.63,29.89,30.12,28.74,447534,1477216120.63,4.66,0.91,0.27,0.49
2023-01-11,002415,29.84,29.44,29.84,29.25,350216,1153769992.89,1.97,-1.51,-0.45,0.38
2023-01-12,002415,29.44,29.21,29.7,29.06,280309,918373568.81,2.17,-0.78,-0.23,0.31
2023-01-13,002415,29.25,30.19,30.25,29.19,347173,1153396533.95,3.63,3.36,0.98,0.38
2023-01-16,002415,30.17,31.22,31.58,29.99,584594,2021984249.22,5.27,3.41,1.03,0.64
2023-01-17,002415,31.25,31.3,31.8,31.18,285820,995956442.72,1.99,0.26,0.08,0.31
2023-01-18,002415,31.25,31.71,32.21,31.15,380380,1342497924.0,3.39,1.31,0.41,0.42
2023-01-19,002415,31.69,33.34,33.45,31.55,615355,2232133544.95,5.99,5.14,1.63,0.68
2023-01-20,002415,33.21,33.28,34.55,33.16,469366,1746545501.58,4.17,-0.18,-0.06,0.52
2023-01-30,002415,33.66,33.6,35.11,33.53,510443,1918690153.9,4.75,0.96,0.32,0.56
2023-01-31,002415,33.6,32.4,34.23,32.21,494704,1788753229.99,6.01,-3.57,-1.2,0.54
2023-02-01,002415,32.41,32.8,33.2,32.21,327069,1180240718.53,3.06,1.23,0.4,0.36
2023-02-02,002415,32.79,32.94,33.81,32.54,353843,1295657131.69,3.87,0.43,0.14,0.39
2023-02-03,002415,32.85,33.25,33.43,32.28,349943,1270726772.18,3.49,0.94,0.31,0.38
2023-02-06,002415,33.15,33.07,34.1,32.78,498205,1838212362.98,3.97,-0.54,-0.18,0.55
2023-02-07,002415,33.16,33.81,34.24,33.11,553709,2062122950.67,3.42,2.24,0.74,0.61
2023-02-08,002415,33.83,33.45,33.84,33.21,320581,1183532335.72,1.86,-1.06,-0.36,0.35
2023-02-09,002415,33.23,34.28,34.4,32.95,382055,1428022864.19,4.33,2.48,0.83,0.42
2023-02-10,002415,34.28,33.25,34.29,32.95,403994,1490294048.67,3.91,-3.0,-1.03,0.44
2023-02-13,002415,33.03,33.15,33.3,32.4,345028,1254114214.4,2.71,-0.3,-0.1,0.38
2023-02-14,002415,33.15,32.73,33.19,32.49,239805,867367222.81,2.11,-1.27,-0.42,0.26
2023-02-15,002415,32.57,32.73,32.92,32.22,256272,923623983.13,2.14,0.0,0.0,0.28
2023-02-16,002415,32.72,33.94,35.07,32.72,1050073,3946666196.9,7.18,3.7,1.21,1.15
2023-02-17,002415,33.54,33.06,33.99,33.06,454479,1676368000.38,2.74,-2.59,-0.88,0.5
2023-02-20,002415,32.55,35.25,35.5,32.4,923026,3514053209.74,9.38,6.62,2.19,1.01
2023-02-21,002415,35.25,35.31,36.33,34.81,611728,2379282775.6,4.31,0.17,0.06,0.67
2023-02-22,002415,35.16,34.72,35.54,34.45,424493,1621875087.46,3.09,-1.67,-0.59,0.47
2023-02-23,002415,34.73,34.29,34.9,34.02,286157,1080396425.22,2.53,-1.24,-0.43,0.31
2023-02-24,002415,34.32,34.23,34.91,33.95,282331,1067144763.62,2.8,-0.17,-0.06,0.31
2023-02-27,002415,34.07,33.77,34.4,33.66,262679,981883062.18,2.16,-1.34,-0.46,0.29
2023-02-28,002415,34.44,34.93,35.42,34.25,422214,1618936828.31,3.46,3.44,1.16,0.46
2023-03-01,002415,34.93,36.36,36.45,34.85,666088,2630519538.42,4.58,4.09,1.43,0.73
2023-03-02,002415,36.15,35.95,36.88,35.75,420749,1668002117.54,3.11,-1.13,-0.41,0.46
2023-03-03,002415,36.05,35.92,36.14,35.3,285898,1118914824.45,2.34,-0.08,-0.03,0.31
2023-03-06,002415,36.02,36.45,36.83,35.86,347939,1391047755.63,2.7,1.48,0.53,0.38
2023-03-07,002415,36.4,35.47,37.22,35.24,373176,1467586577.86,5.43,-2.69,-0.98,0.41
2023-03-08,002415,35.35,35.55,35.65,34.67,324065,1249580788.34,2.76,0.23,0.08,0.36
2023-03-09,002415,35.55,34.87,35.64,34.66,349158,1341408235.03,2.76,-1.91,-0.68,0.38
2023-03-10,002415,34.66,34.36,35.31,34.15,404164,1535014720.78,3.33,-1.46,-0.51,0.44
2023-03-13,002415,33.95,35.76,35.91,33.92,520131,2010794073.23,5.79,4.07,1.4,0.57
2023-03-14,002415,35.75,35.45,36.05,35.13,390504,1521646293.2,2.57,-0.87,-0.31,0.43
2023-03-15,002415,35.94,35.63,37.43,35.48,717822,2868927645.42,5.5,0.51,0.18,0.79
2023-03-16,002415,35.26,34.56,35.76,34.4,415925,1596316536.41,3.82,-3.0,-1.07,0.46
2023-03-17,002415,34.95,36.9,37.35,34.93,946185,3786373031.26,7.0,6.77,2.34,1.04
2023-03-20,002415,36.9,37.81,39.25,36.89,1120275,4694980851.33,6.4,2.47,0.91,1.23
2023-03-21,002415,37.56,37.55,38.31,37.03,453716,1863444849.47,3.39,-0.69,-0.26,0.5
2023-03-22,002415,37.55,39.35,39.43,37.54,721256,3047723462.84,5.03,4.79,1.8,0.79
2023-03-23,002415,39.1,41.35,41.55,38.9,1049297,4615118116.75,6.73,5.08,2.0,1.15
2023-03-24,002415,41.35,41.15,41.56,39.89,674000,2989750204.24,4.04,-0.48,-0.2,0.74
2023-03-27,002415,40.55,40.16,42.89,39.57,1020359,4506447596.77,8.07,-2.41,-0.99,1.12
2023-03-28,002415,40.11,39.0,40.11,38.63,673982,2882374234.21,3.69,-2.89,-1.16,0.74
2023-03-29,002415,39.0,39.35,40.06,38.14,494972,2111598013.85,4.92,0.9,0.35,0.54
2023-03-30,002415,39.14,38.15,39.25,37.27,705868,2924683332.84,5.03,-3.05,-1.2,0.77
2023-03-31,002415,38.24,39.21,40.01,37.83,612882,2601304037.22,5.71,2.78,1.06,0.67
2023-04-03,002415,39.45,38.98,40.2,37.59,914916,3836277016.78,6.66,-0.59,-0.23,1.0
2023-04-04,002415,38.9,41.46,42.72,38.55,1111949,4904280240.62,10.7,6.36,2.48,1.22
2023-04-06,002415,40.15,40.41,41.49,39.93,761112,3352414059.38,3.76,-2.53,-1.05,0.84
2023-04-07,002415,40.45,42.13,43.35,40.45,784733,3572771702.38,7.18,4.26,1.72,0.86
2023-04-10,002415,44.54,41.6,45.39,40.99,1023651,4775743347.98,10.44,-1.26,-0.53,1.12
2023-04-11,002415,41.06,40.93,42.44,40.24,589569,2632625896.25,5.29,-1.61,-0.67,0.65
2023-04-12,002415,40.86,42.92,43.23,40.86,654572,2992021442.42,5.79,4.86,1.99,0.72
2023-04-13,002415,42.28,41.75,42.8,41.45,438488,1989915773.95,3.15,-2.73,-1.17,0.48
2023-04-14,002415,41.63,41.11,41.72,39.65,682535,3004695552.78,4.96,-1.53,-0.64,0.75
2023-04-17,002415,39.84,40.5,41.05,38.63,754625,3294715524.01,5.89,-1.48,-0.61,0.83
2023-04-18,002415,40.4,40.09,40.9,39.0,546393,2365180596.21,4.69,-1.01,-0.41,0.6
2023-04-19,002415,40.03,39.71,40.75,39.36,466695,2030526193.44,3.47,-0.95,-0.38,0.51
2023-04-20,002415,39.71,38.17,40.1,37.12,1367787,5651599198.1,7.5,-3.88,-1.54,1.5
2023-04-21,002415,37.95,36.27,38.6,36.25,891762,3619640017.23,6.16,-4.98,-1.9,0.98
2023-04-24,002415,36.58,35.8,37.35,35.33,588258,2329736208.52,5.57,-1.3,-0.47,0.65
2023-04-25,002415,35.75,34.0,36.02,33.51,1034495,3905401995.29,7.01,-5.03,-1.8,1.14
2023-04-26,002415,34.02,33.65,34.35,32.98,716751,2655551156.34,4.03,-1.03,-0.35,0.79
2023-04-27,002415,33.55,34.45,34.99,33.45,481494,1823913800.85,4.58,2.38,0.8,0.53
2023-04-28,002415,34.09,34.3,34.7,33.78,435613,1641296439.05,2.67,-0.44,-0.15,0.48
