analysis_date,window,factor_name,method,q1_status,q5_status,q1_turnover,q5_turnover,previous_analysis_date,both_initial_formation,both_legs_pass,pair_status,roundtrip_traded_notional_ratio
2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,120,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,120,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
2015-07-31,120,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,,,,True,False,BOTH_INITIAL,
